record_id,date_time,building_type,city_zone,energy_consumption_kwh,temperature_celsius,occupancy_level,peak_hour,renewable_energy_used_percent,peak_load_risk
1,2024-01-01 00:00:00,Industrial,East,482.82,14.2,46,No,73.4,Medium
2,2024-01-01 01:00:00,Residential,North,29.96,37.1,332,No,6.2,High
3,2024-01-01 02:00:00,Industrial,West,445.74,39.1,497,Yes,34.2,Low
4,2024-01-01 03:00:00,Industrial,Central,290.56,24.3,238,No,42.6,Medium
5,2024-01-01 04:00:00,Residential,Central,284.14,21.6,10,No,71.9,Low
6,2024-01-01 05:00:00,Residential,South,252.64,44.1,152,Yes,79.8,High
7,2024-01-01 06:00:00,Industrial,South,39.35,13.0,61,No,60.3,Medium
8,2024-01-01 07:00:00,Commercial,Central,49.49,13.6,494,Yes,77.7,Low
9,2024-01-01 08:00:00,Industrial,Central,302.45,16.7,18,No,63.0,Medium
10,2024-01-01 09:00:00,Industrial,West,173.77,11.9,86,No,77.1,Medium
11,2024-01-01 10:00:00,Industrial,East,459.05,20.2,137,Yes,56.6,Medium
12,2024-01-01 11:00:00,Industrial,South,206.26,41.4,401,No,6.4,Low
13,2024-01-01 12:00:00,Residential,East,75.92,29.6,230,Yes,32.2,High
14,2024-01-01 13:00:00,Industrial,West,358.79,21.5,128,No,51.7,Medium
15,2024-01-01 14:00:00,Commercial,Central,150.21,42.4,104,No,28.1,Medium
16,2024-01-01 15:00:00,Residential,East,265.11,6.9,186,Yes,21.9,Low
17,2024-01-01 16:00:00,Commercial,Central,350.43,13.4,397,Yes,46.2,High
18,2024-01-01 17:00:00,Commercial,Central,450.63,27.6,178,No,74.7,Low
19,2024-01-01 18:00:00,Commercial,North,397.13,29.6,357,No,2.8,Medium
20,2024-01-01 19:00:00,Commercial,East,339.8,6.6,6,Yes,61.5,High
21,2024-01-01 20:00:00,Residential,East,341.42,21.1,341,No,57.8,Low
22,2024-01-01 21:00:00,Residential,Central,473.23,31.0,307,Yes,77.1,Medium
23,2024-01-01 22:00:00,Commercial,West,151.43,32.9,36,Yes,74.5,Low
24,2024-01-01 23:00:00,Commercial,North,5.55,30.5,327,No,61.0,Medium
25,2024-01-02 00:00:00,Residential,Central,139.62,17.8,356,Yes,41.6,Medium
26,2024-01-02 01:00:00,Residential,South,112.86,8.7,281,No,16.3,High
27,2024-01-02 02:00:00,Residential,South,332.61,22.1,395,No,43.6,High
28,2024-01-02 03:00:00,Industrial,North,318.69,10.2,300,No,61.2,Medium
29,2024-01-02 04:00:00,Industrial,West,298.76,42.9,14,No,71.7,Medium
30,2024-01-02 05:00:00,Industrial,Central,13.04,24.0,237,No,63.2,Medium
31,2024-01-02 06:00:00,Commercial,East,365.75,17.7,285,No,15.6,Low
32,2024-01-02 07:00:00,Industrial,North,165.15,35.7,330,No,48.0,Medium
33,2024-01-02 08:00:00,Commercial,West,334.2,24.9,50,No,26.6,High
34,2024-01-02 09:00:00,Commercial,East,280.51,17.4,496,No,0.7,Low
35,2024-01-02 10:00:00,Industrial,South,174.65,37.5,261,Yes,16.0,Low
36,2024-01-02 11:00:00,Commercial,South,71.62,39.7,456,No,9.1,Low
37,2024-01-02 12:00:00,Industrial,East,51.74,31.9,110,No,67.4,Low
38,2024-01-02 13:00:00,Industrial,North,416.6,6.9,197,No,20.7,Low
39,2024-01-02 14:00:00,Residential,South,459.61,27.7,378,No,22.8,Medium
40,2024-01-02 15:00:00,Industrial,Central,326.65,35.5,252,No,76.8,Medium
41,2024-01-02 16:00:00,Residential,East,56.2,10.5,88,No,30.3,Medium
42,2024-01-02 17:00:00,Industrial,East,204.0,14.1,488,Yes,0.8,Low
43,2024-01-02 18:00:00,Industrial,South,365.82,40.3,313,No,22.7,Medium
44,2024-01-02 19:00:00,Residential,North,391.01,5.8,26,Yes,9.5,High
45,2024-01-02 20:00:00,Residential,Central,63.52,35.1,262,No,8.2,High
46,2024-01-02 21:00:00,Industrial,North,5.02,24.0,144,No,6.2,Medium
47,2024-01-02 22:00:00,Commercial,West,357.51,22.9,60,Yes,47.5,Low
48,2024-01-02 23:00:00,Residential,West,181.52,5.3,356,Yes,15.1,High
49,2024-01-03 00:00:00,Commercial,South,130.97,37.8,268,No,28.9,Medium
50,2024-01-03 01:00:00,Commercial,South,11.38,19.4,75,Yes,69.0,Low
51,2024-01-03 02:00:00,Commercial,South,272.45,26.6,3,Yes,33.9,Low
52,2024-01-03 03:00:00,Residential,West,426.32,32.1,63,No,73.3,Low
53,2024-01-03 04:00:00,Commercial,North,479.03,33.1,236,Yes,39.8,Low
54,2024-01-03 05:00:00,Residential,North,285.04,43.2,448,No,31.9,Low
55,2024-01-03 06:00:00,Commercial,South,259.66,26.3,446,No,60.0,High
56,2024-01-03 07:00:00,Industrial,Central,47.1,21.0,229,Yes,5.9,Medium
57,2024-01-03 08:00:00,Industrial,North,276.69,43.1,390,Yes,7.2,Medium
58,2024-01-03 09:00:00,Residential,West,193.09,30.7,275,No,52.2,High
59,2024-01-03 10:00:00,Industrial,East,305.53,16.9,18,No,39.0,Medium
60,2024-01-03 11:00:00,Industrial,East,197.42,10.1,80,No,63.2,High
61,2024-01-03 12:00:00,Commercial,East,123.95,38.7,215,No,73.3,High
62,2024-01-03 13:00:00,Residential,Central,52.01,19.5,171,No,31.1,Low
63,2024-01-03 14:00:00,Commercial,South,160.88,31.4,485,Yes,47.7,High
64,2024-01-03 15:00:00,Commercial,West,52.84,23.8,329,Yes,40.1,Medium
65,2024-01-03 16:00:00,Commercial,Central,92.56,13.0,255,Yes,78.5,Low
66,2024-01-03 17:00:00,Commercial,West,493.73,29.1,387,Yes,66.5,Medium
67,2024-01-03 18:00:00,Commercial,West,224.83,7.4,126,No,72.9,Medium
68,2024-01-03 19:00:00,Commercial,South,268.28,21.5,255,No,20.3,High
69,2024-01-03 20:00:00,Commercial,East,437.44,26.9,72,Yes,61.8,Low
70,2024-01-03 21:00:00,Residential,South,497.81,22.4,38,No,21.2,Medium
71,2024-01-03 22:00:00,Industrial,Central,293.44,34.9,324,Yes,16.7,Low
72,2024-01-03 23:00:00,Commercial,Central,407.17,38.1,204,No,75.5,Low
73,2024-01-04 00:00:00,Commercial,Central,166.84,35.8,172,No,1.5,Low
74,2024-01-04 01:00:00,Commercial,South,156.34,6.6,223,No,77.2,Medium
75,2024-01-04 02:00:00,Commercial,West,204.34,12.8,217,No,11.9,High
76,2024-01-04 03:00:00,Commercial,West,337.89,26.5,245,Yes,65.6,Low
77,2024-01-04 04:00:00,Commercial,North,342.68,42.4,336,No,22.1,Medium
78,2024-01-04 05:00:00,Industrial,Central,161.04,38.4,191,No,28.1,Low
79,2024-01-04 06:00:00,Industrial,West,70.94,38.7,298,No,17.3,Low
80,2024-01-04 07:00:00,Commercial,North,318.04,17.1,320,No,46.8,Medium
81,2024-01-04 08:00:00,Industrial,West,68.52,22.2,182,No,27.8,Low
82,2024-01-04 09:00:00,Residential,Central,291.35,23.8,334,No,52.6,Medium
83,2024-01-04 10:00:00,Commercial,East,348.24,11.3,383,No,1.3,Low
84,2024-01-04 11:00:00,Residential,Central,351.8,6.2,205,Yes,5.1,Low
85,2024-01-04 12:00:00,Residential,South,377.97,42.9,361,No,8.0,Medium
86,2024-01-04 13:00:00,Commercial,West,437.07,14.6,199,No,33.5,Medium
87,2024-01-04 14:00:00,Industrial,West,252.48,14.6,332,No,65.2,Low
88,2024-01-04 15:00:00,Residential,South,366.47,8.3,165,Yes,71.1,Medium
89,2024-01-04 16:00:00,Commercial,South,311.49,42.1,242,No,19.6,High
90,2024-01-04 17:00:00,Residential,East,97.39,28.2,388,Yes,45.9,Medium
91,2024-01-04 18:00:00,Residential,West,17.72,31.7,130,No,61.5,Low
92,2024-01-04 19:00:00,Residential,West,145.85,41.5,227,No,23.1,Medium
93,2024-01-04 20:00:00,Residential,East,224.3,18.8,122,No,32.7,Medium
94,2024-01-04 21:00:00,Industrial,North,310.47,29.9,44,No,41.9,Low
95,2024-01-04 22:00:00,Residential,East,425.73,6.6,451,Yes,10.8,High
96,2024-01-04 23:00:00,Residential,Central,102.14,12.5,196,Yes,2.1,High
97,2024-01-05 00:00:00,Residential,West,67.15,38.2,358,No,12.2,High
98,2024-01-05 01:00:00,Industrial,South,481.92,35.7,204,Yes,50.1,High
99,2024-01-05 02:00:00,Residential,Central,58.48,19.0,467,No,5.9,Medium
100,2024-01-05 03:00:00,Residential,West,241.85,20.1,458,Yes,15.2,Medium
101,2024-01-05 04:00:00,Industrial,East,294.85,26.3,318,No,27.0,Medium
102,2024-01-05 05:00:00,Industrial,Central,272.98,5.0,257,No,6.2,High
103,2024-01-05 06:00:00,Industrial,West,47.59,14.6,17,Yes,15.3,Medium
104,2024-01-05 07:00:00,Residential,North,33.23,13.3,272,Yes,72.9,Low
105,2024-01-05 08:00:00,Industrial,North,57.21,15.0,9,No,1.5,Low
106,2024-01-05 09:00:00,Industrial,South,294.87,37.2,249,No,52.3,High
107,2024-01-05 10:00:00,Residential,West,274.45,16.2,437,No,30.8,Low
108,2024-01-05 11:00:00,Industrial,North,120.7,12.7,201,No,53.8,Medium
109,2024-01-05 12:00:00,Residential,East,320.7,25.2,59,No,47.1,High
110,2024-01-05 13:00:00,Commercial,West,410.93,39.6,375,Yes,17.9,Medium
111,2024-01-05 14:00:00,Industrial,East,25.58,14.7,393,No,67.8,High
112,2024-01-05 15:00:00,Commercial,East,251.57,8.1,140,Yes,39.4,Medium
113,2024-01-05 16:00:00,Residential,North,346.21,19.3,119,Yes,65.8,Low
114,2024-01-05 17:00:00,Industrial,West,129.89,34.9,41,No,32.5,High
115,2024-01-05 18:00:00,Residential,Central,157.35,27.0,399,Yes,78.8,Low
116,2024-01-05 19:00:00,Commercial,North,308.75,37.7,322,Yes,61.6,Low
117,2024-01-05 20:00:00,Residential,North,449.48,43.4,331,Yes,77.3,Low
118,2024-01-05 21:00:00,Industrial,West,405.91,36.7,267,No,41.1,Low
119,2024-01-05 22:00:00,Industrial,West,293.65,29.2,8,No,37.9,Low
120,2024-01-05 23:00:00,Commercial,East,366.46,24.7,183,No,60.4,Low
121,2024-01-06 00:00:00,Residential,West,185.59,6.6,480,No,70.4,Medium
122,2024-01-06 01:00:00,Industrial,East,322.28,44.4,134,No,77.1,High
123,2024-01-06 02:00:00,Commercial,North,235.76,20.3,181,Yes,26.0,Low
124,2024-01-06 03:00:00,Industrial,South,99.02,11.1,404,No,63.9,Low
125,2024-01-06 04:00:00,Industrial,Central,352.36,31.7,423,Yes,16.9,Medium
126,2024-01-06 05:00:00,Residential,North,280.45,16.4,355,Yes,43.6,Medium
127,2024-01-06 06:00:00,Industrial,West,182.52,28.4,72,Yes,14.4,High
128,2024-01-06 07:00:00,Residential,Central,456.11,28.5,498,No,27.8,Low
129,2024-01-06 08:00:00,Industrial,South,15.36,22.8,113,Yes,74.5,High
130,2024-01-06 09:00:00,Commercial,South,161.31,38.4,107,Yes,11.7,Medium
131,2024-01-06 10:00:00,Industrial,East,33.16,15.6,290,Yes,50.6,Medium
132,2024-01-06 11:00:00,Residential,Central,384.43,22.9,313,Yes,47.4,Low
133,2024-01-06 12:00:00,Residential,East,352.54,26.5,117,No,9.7,Low
134,2024-01-06 13:00:00,Commercial,North,169.02,31.5,120,No,26.1,Low
135,2024-01-06 14:00:00,Industrial,Central,339.45,36.4,147,No,45.0,Low
136,2024-01-06 15:00:00,Industrial,North,200.99,20.8,327,Yes,15.0,Medium
137,2024-01-06 16:00:00,Commercial,East,379.35,30.8,415,Yes,64.0,High
138,2024-01-06 17:00:00,Industrial,Central,229.82,11.0,210,No,77.8,Medium
139,2024-01-06 18:00:00,Industrial,East,209.08,42.3,296,Yes,17.2,Medium
140,2024-01-06 19:00:00,Residential,Central,467.69,20.3,398,No,15.0,Medium
141,2024-01-06 20:00:00,Industrial,East,129.19,34.2,103,Yes,36.4,Low
142,2024-01-06 21:00:00,Industrial,South,64.62,5.8,124,No,59.8,High
143,2024-01-06 22:00:00,Commercial,East,294.35,13.2,245,Yes,22.5,Medium
144,2024-01-06 23:00:00,Commercial,South,484.81,24.5,379,No,1.6,Low
145,2024-01-07 00:00:00,Residential,East,192.03,40.1,356,No,43.3,Low
146,2024-01-07 01:00:00,Industrial,Central,35.71,26.1,209,No,76.5,Medium
147,2024-01-07 02:00:00,Industrial,Central,172.96,42.2,421,Yes,31.3,Medium
148,2024-01-07 03:00:00,Industrial,Central,255.44,24.4,428,No,33.6,Low
149,2024-01-07 04:00:00,Residential,West,85.15,24.6,393,No,77.5,High
150,2024-01-07 05:00:00,Residential,North,330.76,9.8,314,Yes,55.6,Medium
151,2024-01-07 06:00:00,Commercial,Central,498.89,37.1,404,Yes,57.5,Medium
152,2024-01-07 07:00:00,Residential,South,228.61,14.9,109,No,45.0,Low
153,2024-01-07 08:00:00,Industrial,Central,180.59,41.0,377,Yes,78.0,Low
154,2024-01-07 09:00:00,Industrial,West,203.35,41.4,348,No,55.1,High
155,2024-01-07 10:00:00,Residential,South,62.0,42.7,50,Yes,71.6,High
156,2024-01-07 11:00:00,Industrial,West,442.22,25.8,404,No,56.0,Low
157,2024-01-07 12:00:00,Industrial,South,210.34,32.1,105,Yes,58.8,Low
158,2024-01-07 13:00:00,Residential,East,196.7,36.1,420,No,23.2,Low
159,2024-01-07 14:00:00,Residential,North,331.55,10.2,373,Yes,24.3,Low
160,2024-01-07 15:00:00,Industrial,North,223.81,29.0,27,Yes,62.6,Medium
161,2024-01-07 16:00:00,Industrial,West,325.88,6.4,456,Yes,23.7,High
162,2024-01-07 17:00:00,Industrial,North,35.42,24.9,288,No,45.0,Low
163,2024-01-07 18:00:00,Commercial,West,407.79,11.2,257,Yes,19.9,Low
164,2024-01-07 19:00:00,Commercial,West,470.55,12.3,273,No,65.4,High
165,2024-01-07 20:00:00,Commercial,West,326.14,19.6,137,Yes,8.8,Low
166,2024-01-07 21:00:00,Residential,North,477.51,22.3,340,Yes,66.4,High
167,2024-01-07 22:00:00,Commercial,West,79.96,29.9,301,No,48.2,Medium
168,2024-01-07 23:00:00,Residential,North,241.32,8.0,480,No,15.0,High
169,2024-01-08 00:00:00,Residential,West,302.89,25.1,322,No,43.4,Low
170,2024-01-08 01:00:00,Commercial,Central,292.96,12.3,32,No,22.6,Low
171,2024-01-08 02:00:00,Commercial,West,203.72,28.0,45,No,25.9,Medium
172,2024-01-08 03:00:00,Commercial,South,172.35,30.5,265,No,28.1,Medium
173,2024-01-08 04:00:00,Industrial,West,67.78,27.3,30,No,5.1,Low
174,2024-01-08 05:00:00,Commercial,East,198.91,34.5,84,Yes,78.9,High
175,2024-01-08 06:00:00,Industrial,West,85.52,18.4,166,No,2.5,High
176,2024-01-08 07:00:00,Residential,South,368.51,35.6,316,No,53.0,Medium
177,2024-01-08 08:00:00,Industrial,South,108.37,22.3,1,No,29.7,Low
178,2024-01-08 09:00:00,Commercial,North,33.99,24.4,249,Yes,51.7,Medium
179,2024-01-08 10:00:00,Residential,Central,278.42,30.9,261,Yes,28.5,Medium
180,2024-01-08 11:00:00,Residential,West,299.64,5.7,63,No,53.9,Low
181,2024-01-08 12:00:00,Residential,North,436.6,31.2,483,Yes,58.3,High
182,2024-01-08 13:00:00,Industrial,Central,290.61,29.7,164,No,55.2,Low
183,2024-01-08 14:00:00,Commercial,West,176.01,17.4,321,Yes,9.1,Low
184,2024-01-08 15:00:00,Residential,East,402.49,8.4,334,No,52.6,Low
185,2024-01-08 16:00:00,Residential,West,272.44,8.6,201,Yes,22.4,Medium
186,2024-01-08 17:00:00,Residential,South,44.24,41.9,222,No,2.3,Medium
187,2024-01-08 18:00:00,Industrial,South,285.1,32.6,152,Yes,33.2,Low
188,2024-01-08 19:00:00,Industrial,East,454.47,10.1,132,No,34.7,Low
189,2024-01-08 20:00:00,Commercial,North,201.17,19.3,114,No,37.4,Low
190,2024-01-08 21:00:00,Industrial,Central,151.68,28.7,462,Yes,56.4,Low
191,2024-01-08 22:00:00,Residential,West,76.02,38.4,217,No,24.7,Medium
192,2024-01-08 23:00:00,Commercial,South,79.97,6.7,196,Yes,25.2,Low
193,2024-01-09 00:00:00,Residential,North,219.22,14.5,281,Yes,4.8,Low
194,2024-01-09 01:00:00,Residential,East,299.86,40.6,202,No,54.9,High
195,2024-01-09 02:00:00,Industrial,South,44.9,5.4,483,No,45.4,Medium
196,2024-01-09 03:00:00,Commercial,East,470.09,13.1,135,Yes,28.0,Medium
197,2024-01-09 04:00:00,Industrial,West,378.79,43.4,234,Yes,56.4,Low
198,2024-01-09 05:00:00,Industrial,Central,295.38,29.5,141,Yes,43.0,Low
199,2024-01-09 06:00:00,Commercial,South,415.08,15.5,196,No,37.5,Medium
200,2024-01-09 07:00:00,Residential,South,44.69,7.7,498,Yes,40.9,Low
